Level ID,Category,Sort Order,Title,Description,Item Count,Items (Display),Items (Correct Order),Hint,Fact
1,Basic Numbers,Ascending ↑,"Level 1","Sort 3 numbers ASC",3,"94 | 22 | 71","22 → 71 → 94","",""
2,Basic Numbers,Descending ↓,"Level 2","Sort 4 numbers DESC",4,"104 | 59 | 66 | 53","104 → 66 → 59 → 53","",""
3,Basic Numbers,Ascending ↑,"Level 3","Sort 5 numbers ASC",5,"20 | 94 | 74 | 1 | 23","1 → 20 → 23 → 74 → 94","",""
4,Basic Numbers,Descending ↓,"Level 4","Sort 6 numbers DESC",6,"36 | 84 | 114 | 40 | 78 | 23","114 → 84 → 78 → 40 → 36 → 23","",""
5,Basic Numbers,Ascending ↑,"Level 5","Sort 7 numbers ASC",7,"67 | 103 | 43 | 78 | 116 | 32 | 45","32 → 43 → 45 → 67 → 78 → 103 → 116","",""
6,Basic Numbers,Descending ↓,"Level 6","Sort 8 numbers DESC",8,"121 | 14 | 68 | 26 | 98 | 34 | 75 | 118","121 → 118 → 98 → 75 → 68 → 34 → 26 → 14","",""
7,Basic Numbers,Ascending ↑,"Level 7","Sort 9 numbers ASC",9,"34 | 54 | 107 | 7 | 99 | 33 | 31 | 112 | 4","4 → 7 → 31 → 33 → 34 → 54 → 99 → 107 → 112","",""
8,Basic Numbers,Ascending ↑,"Level 8","Sort 10 numbers ASC",10,"13 | 1 | 83 | 43 | 110 | 129 | 72 | 97 | 111 | 80","1 → 13 → 43 → 72 → 80 → 83 → 97 → 110 → 111 → 129","",""
9,Basic Numbers,Descending ↓,"Level 9","Sort 10 numbers DESC",10,"35 | 15 | 27 | 76 | 83 | 94 | 44 | 42 | 131 | 91","131 → 94 → 91 → 83 → 76 → 44 → 42 → 35 → 27 → 15","",""
10,Basic Numbers,Descending ↓,"Level 10","Sort 10 numbers DESC",10,"135 | 45 | 106 | 143 | 97 | 138 | 123 | 121 | 143 | 94","143 → 143 → 138 → 135 → 123 → 121 → 106 → 97 → 94 → 45","",""
11,Basic Numbers,Ascending ↑,"Level 11","Sort 11 numbers ASC",11,"147 | 45 | 90 | 87 | 34 | 40 | 39 | 135 | 8 | 57 | 116","8 → 34 → 39 → 40 → 45 → 57 → 87 → 90 → 116 → 135 → 147","",""
12,Basic Numbers,Descending ↓,"Level 12","Sort 11 numbers DESC",11,"88 | 43 | 122 | 107 | 14 | 26 | 102 | 88 | 8 | 101 | 45","122 → 107 → 102 → 101 → 88 → 88 → 45 → 43 → 26 → 14 → 8","",""
13,Basic Numbers,Descending ↓,"Level 13","Sort 11 numbers DESC",11,"29 | 23 | 136 | 33 | 47 | 81 | 104 | 35 | 88 | 112 | 36","136 → 112 → 104 → 88 → 81 → 47 → 36 → 35 → 33 → 29 → 23","",""
14,Basic Numbers,Ascending ↑,"Level 14","Sort 12 numbers ASC",12,"104 | 14 | 59 | 103 | 39 | 145 | 55 | 162 | 138 | 75 | 152 | 63","14 → 39 → 55 → 59 → 63 → 75 → 103 → 104 → 138 → 145 → 152 → 162","",""
15,Basic Numbers,Ascending ↑,"Level 15","Sort 12 numbers ASC",12,"140 | 141 | 60 | 56 | 121 | 28 | 150 | 13 | 30 | 115 | 141 | 38","13 → 28 → 30 → 38 → 56 → 60 → 115 → 121 → 140 → 141 → 141 → 150","",""
16,Basic Numbers,Descending ↓,"Level 16","Sort 12 numbers DESC",12,"154 | 28 | 165 | 169 | 82 | 66 | 129 | 153 | 144 | 99 | 105 | 117","169 → 165 → 154 → 153 → 144 → 129 → 117 → 105 → 99 → 82 → 66 → 28","",""
17,Basic Numbers,Descending ↓,"Level 17","Sort 13 numbers DESC",13,"155 | 80 | 91 | 35 | 11 | 19 | 143 | 156 | 164 | 92 | 136 | 70 | 65","164 → 156 → 155 → 143 → 136 → 92 → 91 → 80 → 70 → 65 → 35 → 19 → 11","",""
18,Basic Numbers,Descending ↓,"Level 18","Sort 13 numbers DESC",13,"83 | 55 | 134 | 37 | 5 | 37 | 53 | 79 | 128 | 136 | 169 | 65 | 69","169 → 136 → 134 → 128 → 83 → 79 → 69 → 65 → 55 → 53 → 37 → 37 → 5","",""
19,Basic Numbers,Ascending ↑,"Level 19","Sort 13 numbers ASC",13,"21 | 48 | 2 | 51 | 142 | 85 | 27 | 12 | 60 | 119 | 100 | 34 | 44","2 → 12 → 21 → 27 → 34 → 44 → 48 → 51 → 60 → 85 → 100 → 119 → 142","",""
